Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 24 workers.
Copying objective function to workers...
Done copying objective function to workers.
[Warning: MATLAB has disabled some advanced graphics rendering features by
switching to software OpenGL. For more information, click <a
href="matlab:opengl('problems')">here</a>.] 
|=======================================================================================================================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |  FilterSize1 |  NumFilters1 |  FilterSize2 |  NumFilters2 |   StrideVal1 |   StrideVal2 |  FCLayerSize |      Dropout | InitialLearn-| MiniBatchSize|
|  101 |      24 | Accept |         0.5 |      1626.1 |     0.30556 |      0.3896 |            4 |           11 |            7 |           18 |            3 |            2 |           38 |       0.4853 |   9.2604e-05 |           17 |
|  102 |      24 | Accept |     0.43056 |      4197.5 |     0.30556 |     0.39163 |            5 |            8 |            7 |           23 |            2 |            2 |           39 |       0.2455 |   7.9753e-06 |           24 |
|  103 |      24 | Accept |       0.375 |      5451.1 |     0.30556 |     0.39082 |            6 |           11 |            6 |           18 |            2 |            1 |           42 |      0.33658 |   1.5955e-06 |           17 |
|  104 |      24 | Accept |     0.44444 |      3094.7 |     0.30556 |     0.39109 |            4 |           10 |            4 |           49 |            3 |            2 |           64 |      0.20007 |   0.00047181 |           17 |
|  105 |      24 | Accept |     0.34722 |      4606.7 |     0.30556 |     0.38714 |            6 |           11 |            7 |           18 |            2 |            2 |           62 |      0.31009 |   4.3622e-06 |           23 |
|  106 |      24 | Accept |     0.38889 |      1956.6 |     0.30556 |     0.38681 |            4 |           10 |            5 |           49 |            3 |            3 |           34 |      0.28836 |   1.2187e-05 |           24 |
|  107 |      24 | Accept |     0.41667 |      2822.2 |     0.30556 |     0.38694 |            3 |            9 |            3 |           26 |            3 |            2 |           46 |      0.49846 |   1.6365e-05 |           19 |
|  108 |      24 | Accept |     0.43056 |      2745.3 |     0.30556 |     0.38678 |            4 |           12 |            5 |           17 |            3 |            1 |           61 |      0.31833 |    6.642e-06 |           24 |
|  109 |      24 | Accept |     0.34722 |      1709.1 |     0.30556 |     0.38772 |            4 |            9 |            5 |           19 |            3 |            3 |           57 |       0.2807 |   5.9132e-06 |           24 |
|  110 |      24 | Accept |     0.40278 |      2056.4 |     0.30556 |     0.38763 |            3 |           10 |            6 |           23 |            3 |            3 |           42 |      0.31838 |   3.0615e-05 |           24 |
|  111 |      24 | Accept |     0.47222 |      1682.5 |     0.30556 |     0.38753 |            4 |           16 |            5 |           19 |            3 |            3 |           33 |      0.27542 |    2.814e-05 |           24 |
|  112 |      24 | Accept |     0.36111 |      4301.4 |     0.30556 |     0.39656 |            4 |            9 |            4 |           60 |            3 |            2 |           33 |      0.49311 |   2.7662e-06 |           16 |
|  113 |      24 | Accept |     0.40278 |      2262.9 |     0.30556 |     0.38731 |            4 |           14 |            6 |           21 |            3 |            2 |           60 |      0.29936 |   1.2824e-05 |           23 |
|  114 |      24 | Accept |     0.34722 |      1696.7 |     0.30556 |     0.38446 |            3 |           10 |            6 |           35 |            3 |            2 |           44 |      0.28692 |     6.88e-06 |           24 |
|  115 |      24 | Accept |         0.5 |      1519.6 |     0.30556 |     0.38368 |            3 |            9 |            4 |           16 |            3 |            1 |           32 |      0.28343 |   0.00035811 |           16 |
|  116 |      24 | Accept |     0.40278 |      3517.5 |     0.30556 |     0.38349 |            4 |           11 |            6 |           38 |            3 |            3 |           58 |      0.28303 |   5.6705e-06 |           23 |
|  117 |      24 | Accept |         0.5 |      1533.3 |     0.30556 |     0.38258 |            4 |            8 |            3 |           19 |            3 |            1 |           21 |      0.48468 |   4.9109e-05 |           17 |
|  118 |      24 | Accept |     0.44444 |      2243.2 |     0.30556 |     0.38289 |            4 |            9 |            4 |           17 |            3 |            1 |           56 |      0.22756 |   8.5682e-05 |           20 |
|  119 |      24 | Accept |     0.31944 |       14798 |     0.30556 |     0.38269 |            7 |            9 |            7 |           19 |            2 |            3 |           26 |      0.28621 |   1.9456e-06 |           24 |
|  120 |      24 | Accept |     0.41667 |      3637.2 |     0.30556 |     0.38247 |            5 |           12 |            6 |           24 |            3 |            3 |           64 |       0.2728 |   1.5538e-05 |           24 |
|=======================================================================================================================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |  FilterSize1 |  NumFilters1 |  FilterSize2 |  NumFilters2 |   StrideVal1 |   StrideVal2 |  FCLayerSize |      Dropout | InitialLearn-| MiniBatchSize|
